State,District,Latitude,Longitude,Population,Male,Female,Literate,Male_Literate,Female_Literate,SC,ST,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Others_Religions,Religion_Not_Stated,Rural_Households,Urban_Households,Primary_Education,Middle_Education,Secondary_Education,Higher_Education,Graduate_Education,Age_Group_0_29,Age_Group_30_49,Age_Group_50,Age not stated,Household_size_1_person_Households,Household_size_2_persons_Households,Household_size_1_to_2_persons,Household_size_3_persons_Households,Household_size_3_to_5_persons_Households,Household_size_4_persons_Households,Sex Ratio,Literacy Rate,Male Literacy Rate,Female Literacy Rate
Bihar,Buxar,25.48593018867924,84.08808081760995,1706352,887977,818375,989807,593544,396263,251737,26824,1591454,105423,2125,248,5090,97,57,1858,299252,35405,420187,256124,178044,89306,64117,1074754,375372,253998,2228,4625,15443,20068,18203,88936,30535,109,58,67,48
Bihar,Darbhanga,26.146187719298258,85.97387352472099,3937385,2059949,1877436,1816634,1125566,691068,615688,2772,3042729,881476,3534,832,245,236,101,8232,907174,95539,490534,332382,224622,152540,129597,2535344,865971,529314,6756,18736,97067,115803,102760,396000,141310,110,46,55,37
Bihar,Gaya,24.7266541547278,84.94291217765044,4391418,2266566,2124852,2297613,1368803,928810,1334351,3098,3876395,488121,3943,913,870,1723,108,19345,696289,111282,757690,447480,342254,191824,131163,2810026,936630,537333,107429,10388,43065,53453,51094,252000,86740,107,52,60,44
Bihar,Gopalganj,26.44874364161851,84.34636127167629,2562012,1267666,1294346,1382998,793905,589093,320064,60807,2119262,436057,2463,271,167,133,28,3631,515925,38133,470828,291624,223776,123249,79109,1642807,546202,370662,2341,7841,23345,31186,29960,145088,49267,98,54,63,46
Bihar,Jamui,24.78418380462726,86.26316298200514,1760405,916064,844341,858588,534385,324203,302649,78793,1525746,217621,8443,162,159,87,3438,4749,325909,30851,317612,153973,104211,56137,29633,1135919,392052,227016,5418,5498,25310,30808,30414,132724,47218,108,49,58,38
Bihar,Jehanabad,25.155679045643165,84.9208124481328,1125313,585582,539731,618881,374412,244469,222974,1285,1045117,75742,691,148,248,60,58,3249,186660,28132,165906,117558,112966,68748,45519,714244,254582,155106,1381,3148,11836,14984,14459,69576,24518,108,55,64,45
Bihar,Katihar,25.56565356037151,87.70466083591326,3071029,1600430,1470599,1280190,762256,517934,263100,179971,1684589,1365645,8659,2754,212,507,2141,6522,668232,69838,444260,237243,133811,88498,57114,2054202,660403,353483,2941,20222,71206,91428,83087,297110,105287,109,42,48,35
Bihar,Khagaria,25.53558891454964,86.56593256351037,1666886,883786,783100,768028,461153,306875,247161,675,1486989,175588,1253,143,79,86,115,2633,373696,21007,233494,130004,100555,65931,38697,1114645,355531,195796,914,5547,39429,44976,40886,154724,53562,113,46,52,39
Bihar,Kishanganj,26.324336758321294,87.95045007235886,1690400,866970,823430,745056,439921,305135,113118,64224,531236,1149095,5783,398,183,1476,28,2201,401793,43357,235779,89025,42778,25989,15386,1139615,361114,188447,1224,12920,37799,50719,44945,153832,53447,105,44,51,37
Bihar,Lakhisarai,25.183449321266963,86.12825701357468,1000912,526345,474567,507270,305182,202088,153209,8333,956396,40886,487,140,52,78,52,2821,175882,31763,149312,111684,85807,48001,27261,650642,218840,130655,775,2515,10049,12564,12890,64137,22380,111,51,58,43
Bihar,Madhepura,25.77341929460581,86.8978443983403,2001762,1047559,954203,834577,517666,316911,346275,12532,1753829,241760,1342,170,60,133,81,4387,486278,24000,189431,114474,99437,79891,44955,1311771,444235,242382,3374,6090,46102,52192,52354,203093,72963,110,42,49,33
